Product id,Data S2 Name,Group,id,Product_details,Country,Weight,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys
1,41,5,94,136,19,0.002,1.19,1.19,0.0,1.95,0.89,7.14,5.83,53.68,216.95,0
1,41,5,95,136,19,0.002,1.3,1.3,0.0,2.13,0.91,7.14,6.18,58.5,236.76,0
1,41,5,96,136,19,0.002,1.4,1.4,0.0,1.99,1.04,8.41,10.54,2.19,5.08,0
1,41,5,97,136,19,0.002,1.42,1.42,0.0,2.03,0.92,6.82,7.73,2.19,5.08,0
1,41,5,98,136,19,0.002,1.27,1.27,0.0,1.82,0.93,7.19,7.2,2.19,5.08,0
1,41,5,99,136,19,0.002,1.17,1.17,0.0,1.67,0.92,7.2,4.23,2.19,5.08,0
1,41,5,100,136,19,0.002,1.05,1.05,0.0,1.49,0.95,7.75,5.16,2.19,5.08,0
1,41,5,101,136,19,0.002,1.43,1.43,0.0,2.05,0.99,9.03,7.34,2.19,5.08,0
1,41,5,102,136,19,0.002,1.3,1.3,0.0,1.86,0.92,8.16,6.56,2.19,5.08,0
1,41,5,103,93,19,0.0,3.69,3.69,0.0,13.26,1.09,4.93,5.47,2.19,5.08,2
1,41,5,104,93,19,0.0,2.74,2.74,0.0,9.84,0.86,4.69,4.15,2.19,5.08,2
1,41,5,105,93,19,0.002,1.46,1.46,0.0,2.4,1.21,9.54,4.8,26.95,129.48,0
1,41,5,106,93,19,0.002,1.28,1.28,0.0,2.1,1.0,8.37,4.0,4.3,15.67,0
1,41,5,107,123,19,0.005,1.37,1.37,0.0,2.25,0.96,5.29,2.67,2.19,5.08,0
1,41,5,108,123,19,0.005,1.47,1.47,0.0,2.41,0.81,4.45,3.62,2.19,5.08,0
1,41,5,109,123,19,0.002,1.55,1.55,0.0,2.2,1.23,9.59,9.35,4.0,7.48,0
1,41,5,110,123,19,0.013999999999999999,1.47,1.47,0.0,5.28,1.04,7.36,3.84,2.19,5.08,0
1,41,5,111,123,19,0.013999999999999999,1.65,1.65,0.0,2.7,0.92,5.81,3.97,2.19,5.08,0
1,41,5,112,123,19,0.013999999999999999,1.53,1.53,0.0,5.51,1.12,5.82,3.59,2.19,5.08,0
1,41,5,113,136,19,0.008,2.05,2.05,0.0,3.36,1.0,7.85,3.74,2.19,5.08,0
1,41,5,115,123,20,0.002,1.36,1.36,0.0,2.06,1.24,6.05,4.97,110.05,264.14,0
1,41,5,116,123,20,0.002,1.36,1.36,0.0,2.06,1.23,5.99,4.88,109.96,263.93,0
1,41,5,117,123,20,0.002,1.36,1.36,0.0,2.06,1.22,5.98,4.8,110.17,264.43,0
1,41,5,118,123,20,0.0,2.72,2.72,0.0,4.11,1.48,27.0,15.15,109.95,263.89,2
1,41,5,123,136,20,0.013999999999999999,1.65,1.65,0.0,2.39,0.98,10.15,4.0,2.19,2.73,0
1,41,5,124,136,20,0.0,3.57,3.57,0.0,5.17,1.19,11.73,4.85,2.19,2.73,2
1,41,5,125,136,20,0.0,2.77,2.77,0.0,4.0,1.36,8.22,2.32,2.19,2.73,2
1,41,5,126,135,20,0.0,3.06,3.06,0.0,4.43,0.92,10.17,3.4,2.19,2.73,2
1,41,5,127,136,20,0.011000000000000001,1.54,1.54,0.0,2.49,1.1,6.87,11.95,2.19,2.73,0
1,41,5,128,123,20,0.002,1.52,1.52,0.0,2.3,1.24,6.31,4.51,3.83,6.7,0
1,41,5,131,126,22,0.012,4.87,4.87,0.0,81.32,1.84,14.5,4.84,2.19,67.45,0
1,41,5,134,126,25,0.2,1.18,1.18,0.0,14.25,0.87,12.74,6.44,918.86,12715.67,0
1,41,5,135,126,25,0.027000000000000003,1.21,1.21,0.0,14.26,0.87,9.95,14.42,952.69,3684.54,0
1,41,5,136,123,25,0.001,1.18,1.18,0.0,2.27,0.99,13.23,3.51,1271.81,104799.72,0
1,41,5,137,123,25,0.001,1.18,1.18,0.0,2.27,1.0,13.23,3.51,1156.38,95276.57,0
1,41,5,138,123,25,0.001,1.18,1.18,0.0,2.27,0.96,13.23,3.51,1266.76,104383.08,0
1,41,5,141,123,27,0.006999999999999999,3.38,3.38,0.0,9.85,1.81,9.12,15.22,1450.59,89886.4,0
1,41,5,142,123,27,0.004,28.57,28.57,0.0,83.18,1.23,8.38,1.75,2.11,86.54,0
1,41,5,143,123,27,0.004,6.67,6.67,0.0,19.41,1.66,33.48,12.07,601.45,38130.72,0
1,41,5,144,123,27,0.004,5.11,5.11,0.0,14.88,1.29,23.33,8.29,806.24,51130.22,0
1,41,5,145,123,27,0.004,4.19,4.19,0.0,12.2,1.14,19.41,6.73,660.1,41853.92,0
1,41,5,146,123,27,0.004,3.71,3.71,0.0,10.81,0.98,14.74,5.03,585.04,37089.4,0
1,41,5,147,123,27,0.004,4.43,4.43,0.0,12.9,1.44,18.09,6.47,3612.02,229233.89,0
1,41,5,148,123,27,0.006,2.54,2.54,0.0,40.12,1.05,18.42,7.02,734.94,68403.35,0
1,41,5,149,123,27,0.006,3.95,3.95,0.0,55.65,2.7,12.35,3.27,3166.83,203066.79,0
1,41,5,150,123,27,0.0,2.48,2.48,0.0,39.15,1.32,16.77,8.32,948.37,85882.38,0
1,41,5,151,123,27,0.0,1.93,1.93,0.0,30.52,0.88,7.44,4.15,937.77,84921.71,0
1,41,5,152,123,27,0.0,2.21,2.21,0.0,34.81,1.02,10.02,5.3,946.0,85667.2,0
1,41,5,153,123,27,0.0,4.23,4.23,0.0,66.78,0.82,4.98,2.93,2.11,86.54,0
1,41,5,154,123,27,0.0,3.03,3.03,0.0,47.77,1.5,20.08,9.85,959.55,86896.01,0
1,41,5,155,123,27,0.004,2.6,2.6,0.0,41.03,1.07,10.51,5.67,945.21,85595.75,0
1,41,5,159,136,30,0.0,1.66,1.66,0.0,25.22,1.01,4.46,4.48,2.19,38.96,0
1,41,5,160,136,30,0.0,1.98,1.98,0.0,30.22,1.09,4.55,5.76,2.19,38.96,0
1,41,5,161,123,30,0.005,1.06,1.06,0.0,3.49,1.04,7.17,4.66,389.12,1156.22,0
1,41,5,162,123,30,0.001,1.6,1.6,0.0,5.27,1.12,18.98,11.31,389.15,1156.31,2
1,41,5,163,123,30,0.003,1.36,1.36,0.0,4.47,1.09,6.3,1.0,2.19,38.96,0
1,41,5,164,123,30,0.005,1.74,1.74,0.0,5.72,1.12,5.79,4.63,2.19,38.96,0
1,41,5,178,123,35,0.002,2.4,2.4,0.0,137.24,0.86,12.3,7.5,172.85,201.07,0
1,41,5,179,123,35,0.0,3.4,3.4,0.0,194.28,2.36,15.46,7.08,158.76,188.13,0
1,41,5,180,123,35,0.0,2.32,2.32,0.0,132.27,0.52,11.88,5.61,172.5,200.75,0
1,41,5,183,123,37,0.011000000000000001,2.32,2.32,0.0,47.24,1.7,18.85,77.38,710.8,9832.47,0
1,41,5,184,123,37,0.0,2.4,2.4,0.0,48.81,1.7,19.01,42.7,435.74,6030.85,0
1,41,5,185,123,37,0.0,1.96,1.96,0.0,39.98,1.48,16.17,22.53,409.19,5663.79,0
1,41,5,193,100,41,0.0,2.6,2.6,0.0,1.2,2.34,8.46,5.84,2.19,1.4,0
1,41,5,194,136,41,0.0,2.45,2.45,0.0,1.13,2.24,8.76,6.13,2.19,1.4,0
1,41,5,195,123,41,0.0,1.67,1.67,0.0,0.72,1.62,8.69,3.54,2.19,1.4,0
1,41,5,198,123,44,0.015,3.5,3.5,0.0,7.62,1.79,6.71,3.29,2.19,4.26,0
1,41,5,199,123,44,0.002,2.44,2.44,0.0,3.78,1.9,7.84,11.75,101.89,227.99,0
1,41,5,200,123,44,0.002,2.44,2.44,0.0,3.77,1.71,7.1,9.81,101.78,227.75,0
1,41,5,202,123,45,0.001,5.76,5.76,0.0,86.89,1.95,19.34,5.43,899.29,31274.72,0
1,41,5,207,123,48,0.006999999999999999,3.35,3.35,0.0,54.65,1.26,7.75,4.77,6.55,353.3,0
1,41,5,209,136,49,0.002,1.72,1.72,0.0,0.73,1.23,5.7,0.69,2.19,8.84,0
1,41,5,210,136,49,0.004,1.31,1.31,0.0,1.88,1.05,4.75,2.96,2.19,8.84,0
1,41,5,211,136,49,0.002,2.81,2.81,0.0,1.77,1.41,5.17,4.05,2.19,8.84,0
1,41,5,212,136,49,0.002,1.69,1.69,0.0,1.06,1.16,5.07,1.65,2.19,8.84,0
1,41,5,213,136,49,0.002,1.75,1.75,0.0,1.1,1.38,5.46,1.71,2.19,8.84,0
1,41,5,214,131,50,0.0,1.77,1.77,0.0,2.63,1.27,6.88,0.95,2.19,1.8,0
1,41,5,215,135,50,0.0,1.34,1.34,0.0,11.42,0.92,7.07,15.11,2.19,1.8,0
1,41,5,216,135,50,0.0,1.53,1.53,0.0,12.99,1.02,9.04,19.75,2.19,1.8,0
1,41,5,217,135,50,0.0,1.7,1.7,0.0,14.41,1.02,7.57,19.25,2.19,1.8,0
1,41,5,218,135,50,0.0,1.72,1.72,0.0,14.64,1.07,10.77,23.09,2.19,1.8,0
1,41,5,219,135,50,0.0,2.5,2.5,0.0,21.26,1.18,17.82,34.09,2.19,1.8,2
1,41,5,220,135,50,0.0,2.36,2.36,0.0,20.07,1.15,17.74,33.07,2.19,1.8,2
1,41,5,221,136,50,0.0,1.58,1.58,0.0,13.79,1.12,7.94,22.67,2.19,1.8,0
1,41,5,222,136,50,0.0,1.93,1.93,0.0,16.88,1.17,8.07,27.17,2.19,1.8,0
1,41,5,223,136,50,0.0,1.68,1.68,0.0,14.71,1.13,8.17,19.07,2.19,1.8,0
1,41,5,224,136,50,0.0,1.9,1.9,0.0,16.63,1.13,7.96,23.54,2.19,1.8,0
1,41,5,225,136,50,0.0,1.97,1.97,0.0,17.22,1.2,8.08,31.4,2.19,1.8,0
1,41,5,226,136,50,0.0,2.02,2.02,0.0,17.72,1.23,9.52,26.21,2.19,1.8,0
1,41,5,227,136,50,0.0,2.34,2.34,0.0,20.48,1.27,10.07,31.53,2.19,1.8,0
1,41,5,228,136,50,0.0,2.39,2.39,0.0,20.9,1.34,10.06,39.47,2.19,1.8,0
1,41,5,229,136,50,0.0,2.69,2.69,0.0,23.57,1.33,23.29,41.95,2.19,1.8,2
1,41,5,230,136,50,0.0,2.87,2.87,0.0,25.16,1.38,23.2,47.65,2.19,1.8,2
1,41,5,231,100,50,0.0,1.83,1.83,0.0,16.05,1.23,9.17,14.35,2.19,1.8,0
1,41,5,232,100,50,0.0,1.93,1.93,0.0,16.88,1.26,9.28,16.22,2.19,1.8,0
1,41,5,233,100,50,0.0,2.22,2.22,0.0,19.39,1.34,11.24,19.23,2.19,1.8,0
1,41,5,234,100,50,0.0,2.38,2.38,0.0,20.81,1.44,21.31,26.75,2.19,1.8,0
1,41,5,235,100,50,0.0,2.96,2.96,0.0,25.91,1.3,19.6,24.36,2.19,1.8,2
1,41,5,236,100,50,0.0,2.93,2.93,0.0,25.66,1.32,19.69,27.65,2.19,1.8,2
1,41,5,239,123,54,0.013000000000000001,1.23,1.23,0.0,1.52,0.94,13.13,3.14,2.19,6.88,0
1,41,5,242,136,54,0.003,1.51,1.51,0.0,2.06,0.95,4.54,1.02,2.51,8.31,0
1,41,5,247,15,54,0.003,1.62,1.62,0.0,2.2,1.04,6.19,3.32,2.19,6.88,0
1,41,5,248,15,54,0.0,5.39,5.39,0.0,7.33,0.99,5.19,9.71,2.19,6.88,2
2,19,5,265,60,0,0.002,1.81,1.81,0.0,12.2,1.29,9.33,2.18,507.92,10446.72,0
2,19,5,266,60,1,0.001,3.42,3.42,0.0,38.16,1.07,14.38,5.64,0.0,0.0,0
2,19,5,268,60,4,0.002,2.75,2.75,0.0,4.48,0.89,9.57,4.74,0.0,0.0,0
2,19,5,270,60,6,0.023,1.32,1.32,0.0,14.26,1.45,20.63,7.68,0.0,0.0,0
2,19,5,271,60,6,0.035,1.19,1.19,0.0,32.19,1.35,25.48,8.12,0.0,0.0,0
2,19,5,286,106,10,0.015,0.87,0.87,0.0,3.55,0.88,11.1,5.07,828.88,79034.31,0
2,19,5,288,60,10,0.008,0.97,0.97,0.0,3.96,1.38,21.0,4.58,258.16,24615.47,0
2,19,5,289,60,10,0.006999999999999999,1.07,1.07,0.0,4.37,1.51,23.56,5.3,278.32,26538.55,0
2,19,5,292,60,10,0.021,4.58,4.58,0.0,7.55,1.04,9.28,18.17,0.0,0.0,0
2,19,5,293,60,10,0.021,4.35,4.35,0.0,7.16,0.89,13.53,18.67,0.0,0.0,0
2,19,5,294,60,10,0.026000000000000002,0.99,0.99,0.0,4.05,1.43,25.12,7.39,0.0,0.0,0
2,19,5,295,60,10,0.026000000000000002,0.97,0.97,0.0,3.95,1.27,20.17,5.86,0.0,0.0,0
2,19,5,296,60,10,0.013000000000000001,9.25,9.25,0.0,33.24,1.32,18.45,7.47,678.68,61472.75,0
2,19,5,297,60,10,0.013000000000000001,18.26,18.26,0.0,65.65,1.34,23.16,7.98,0.0,0.0,0
2,19,5,299,106,10,0.004,0.96,0.96,0.0,3.94,1.41,20.23,6.46,237.06,22604.18,0
2,19,5,300,106,10,0.004,0.81,0.81,0.0,3.3,1.27,19.03,6.04,220.72,21045.89,0
2,19,5,301,106,10,0.004,0.97,0.97,0.0,3.99,1.06,16.2,5.05,181.95,17349.09,0
2,19,5,302,106,10,0.004,0.49,0.49,0.0,2.02,1.23,18.51,5.86,213.53,20360.66,0
2,19,5,306,60,14,0.0,3.89,3.89,0.0,92.77,0.9,6.93,1.69,637.89,31817.28,0
2,19,5,312,60,19,0.001,1.29,1.29,0.0,2.11,0.79,8.15,5.01,221.83,912.79,0
2,19,5,313,60,19,0.001,1.38,1.38,0.0,2.27,0.77,8.33,3.2,238.96,983.25,0
2,19,5,314,60,19,0.002,1.83,1.83,0.0,6.59,0.98,11.26,5.17,98.12,813.29,0
2,19,5,315,60,19,0.01,1.81,1.81,0.0,2.97,1.13,6.81,6.91,115.63,794.4,0
2,19,5,316,60,19,0.005,1.85,1.85,0.0,2.64,1.16,6.52,6.81,196.21,2069.33,0
2,19,5,317,60,19,0.005,1.69,1.69,0.0,2.76,1.06,6.02,6.64,122.08,1384.74,0
2,19,5,318,60,19,0.003,2.29,2.29,0.0,3.76,0.95,6.99,4.77,55.56,660.31,0
2,19,5,319,60,19,0.001,1.61,1.61,0.0,2.64,1.01,5.79,4.4,143.87,722.89,0
2,19,5,320,60,19,0.002,2.68,2.68,0.0,4.39,0.95,9.29,5.54,0.0,0.0,0
2,19,5,321,60,19,0.008,1.75,1.75,0.0,6.31,0.97,5.02,3.61,0.0,0.0,0
2,19,5,322,60,19,0.002,2.28,2.28,0.0,3.73,0.85,7.18,4.2,0.0,0.0,0
2,19,5,329,60,27,0.003,3.26,3.26,0.0,45.98,5.14,21.08,6.67,7190.95,461216.16,0
2,19,5,330,60,30,0.0,1.17,1.17,0.0,17.81,0.96,4.34,6.73,175.92,845.23,0
2,19,5,331,60,30,0.002,1.43,1.43,0.0,4.71,1.06,12.37,5.05,557.73,1610.47,0
2,19,5,332,60,30,0.002,1.03,1.03,0.0,3.38,0.95,9.71,4.29,400.38,1156.11,0
2,19,5,333,60,30,0.002,0.77,0.77,0.0,2.53,0.89,8.0,2.87,375.35,1083.85,0
2,19,5,334,60,30,0.002,0.66,0.66,0.0,2.18,0.87,4.78,0.78,386.6,1116.32,0
2,19,5,335,60,30,0.002,0.71,0.71,0.0,2.32,0.87,4.97,0.78,413.14,1192.97,0
2,19,5,341,60,35,0.015,4.61,4.61,0.0,282.14,0.94,15.23,12.36,240.35,220.71,0
2,19,5,342,60,35,0.0,3.42,3.42,0.0,209.18,0.79,11.56,6.57,269.76,247.72,0
2,19,5,352,60,45,0.0,2.53,2.53,0.0,41.4,0.74,7.7,2.14,1473.56,110208.11,0
2,19,5,353,60,45,0.0,1.39,1.39,0.0,21.0,0.87,9.35,2.08,862.03,9184.69,0
2,19,5,354,60,45,0.0,1.54,1.54,0.0,30.01,0.72,7.9,1.89,1177.31,60077.42,0
2,19,5,355,60,45,0.0,2.05,2.05,0.0,26.79,0.87,6.82,1.75,1841.95,19625.4,0
2,19,5,356,60,45,0.0,2.05,2.05,0.0,26.79,0.45,6.43,1.68,1473.56,15700.32,0
2,19,5,369,60,50,0.0,1.7,1.7,0.0,14.21,1.17,10.88,18.41,0.0,0.0,0
2,19,5,370,60,50,0.0,1.93,1.93,0.0,16.13,1.2,11.02,18.42,0.0,0.0,0
2,19,5,371,60,50,0.0,2.01,2.01,0.0,16.84,1.13,17.62,20.81,0.0,0.0,2
2,19,5,372,60,50,0.0,1.59,1.59,0.0,13.31,1.17,10.18,17.42,0.0,0.0,0
2,19,5,373,60,50,0.0,1.89,1.89,0.0,15.83,1.13,16.6,19.65,0.0,0.0,2
2,19,5,375,60,51,0.006,4.02,4.02,0.0,64.01,0.57,5.37,1.99,0.0,0.0,0
2,19,5,379,60,54,0.002,2.1,2.1,0.0,2.83,0.83,4.55,3.6,0.0,0.0,0
2,19,5,380,60,54,0.0,5.74,5.74,0.0,7.74,0.81,4.16,8.0,0.0,0.0,2
2,19,5,391,60,55,0.006999999999999999,1.73,1.73,0.0,2.74,0.66,7.81,2.12,203.6,13005.74,0
2,19,5,392,60,55,0.002,2.05,2.05,0.0,3.25,0.47,8.53,2.38,239.0,15267.38,0
2,19,5,394,60,55,0.061,1.04,1.04,0.0,1.57,0.69,7.84,3.48,315.8,354.63,0
2,19,5,396,60,55,0.01,2.07,2.07,0.0,7.43,1.15,9.43,4.27,6.85,250.08,0
2,19,5,397,60,55,0.16,1.36,1.36,0.0,1.96,0.7,7.37,1.37,0.0,0.0,0
2,19,5,398,60,55,0.16,1.48,1.48,0.0,2.14,0.87,10.57,2.32,0.0,0.0,0
2,19,5,399,60,55,0.026000000000000002,2.09,2.09,0.0,4.74,0.92,10.45,2.44,0.0,0.0,0
2,19,5,400,60,55,0.049,2.42,2.42,0.0,4.33,0.98,10.92,2.44,0.0,0.0,0
2,19,5,401,60,55,0.049,1.49,1.49,0.0,2.15,0.9,6.07,1.13,0.0,0.0,0
2,19,5,402,60,55,0.033,3.14,3.14,0.0,4.52,1.49,12.11,3.03,0.0,0.0,0
2,19,5,403,60,55,0.061,1.36,1.36,0.0,2.06,0.84,7.96,1.61,667.94,42667.68,0
2,19,5,404,60,55,0.061,2.24,2.24,0.0,3.22,0.84,8.2,1.49,174.92,1485.88,0
2,19,5,405,60,55,0.01,1.75,1.75,0.0,6.28,0.92,4.58,3.88,371.26,13546.37,0
3,2,0,415,8,1,0.036000000000000004,1.13,1.13,0.0,31.96,1.53,6.48,2.06,8.93,226.05,0
3,2,0,416,12,55,0.013000000000000001,1.67,1.67,0.0,5.99,2.64,38.36,4.82,44.67,1620.87,0
3,2,0,417,13,55,0.013000000000000001,2.37,2.37,0.0,8.48,1.37,17.61,12.37,66.13,2391.44,0
3,2,0,418,11,55,0.013000000000000001,1.48,1.48,0.0,5.32,0.61,7.55,3.41,39.4,1413.33,0
3,2,0,419,9,55,0.013000000000000001,0.88,0.88,0.0,3.16,0.78,11.21,2.56,26.7,914.87,0
3,2,0,420,10,55,0.013000000000000001,0.97,0.97,0.0,3.49,0.44,4.82,2.2,26.4,943.45,0
3,2,0,423,6,1,0.05,1.52,1.52,0.0,3.9,0.98,5.32,1.05,6.96,177.16,0
3,2,0,425,6,1,0.001,1.22,1.22,0.0,10.56,1.02,5.34,1.2,6.96,177.16,0
3,2,0,427,6,4,0.002,0.55,0.55,0.0,0.9,1.04,5.44,1.45,6.96,8.1,0
3,2,0,433,130,14,0.001,1.35,1.35,0.0,32.09,1.1,5.87,1.23,173.77,8744.19,0
3,2,0,435,96,16,0.028999999999999998,0.39,0.39,0.0,0.59,1.12,5.92,1.86,6.96,33.61,0
3,2,0,441,6,16,0.028999999999999998,0.28,0.28,0.0,0.41,1.06,5.33,1.55,6.96,33.61,0
3,2,0,443,107,19,0.018000000000000002,0.22,0.22,0.0,0.35,1.03,5.6,1.46,25.47,92.27,0
3,2,0,444,107,19,0.018000000000000002,0.23,0.23,0.0,0.38,1.03,5.56,1.47,27.18,99.31,0
3,2,0,445,107,19,0.004,0.34,0.34,0.0,0.48,1.04,5.7,2.83,6.96,16.1,0
3,2,0,446,107,19,0.004,0.3,0.3,0.0,0.42,1.05,5.77,2.87,6.96,16.1,0
3,2,0,447,107,19,0.004,0.3,0.3,0.0,0.43,1.04,5.76,3.3,6.96,16.1,0
3,2,0,448,107,19,0.009000000000000001,0.32,0.32,0.0,0.45,1.05,5.79,2.19,6.96,16.1,0
3,2,0,449,132,19,0.004,0.24,0.24,0.0,0.34,1.03,5.69,2.75,6.96,16.1,0
3,2,0,450,132,19,0.004,0.21,0.21,0.0,0.31,1.03,5.71,2.6,6.96,16.1,0
3,2,0,451,96,19,0.038,0.31,0.31,0.0,1.11,1.05,5.68,1.69,6.96,16.1,0
3,2,0,452,6,19,0.038,0.27,0.27,0.0,0.97,1.04,5.74,1.56,7.81,23.19,0
3,2,0,453,6,19,0.009000000000000001,0.27,0.27,0.0,0.38,1.07,5.95,2.64,7.25,16.49,0
3,2,0,454,6,19,0.011000000000000001,0.42,0.42,0.0,0.69,1.05,5.77,1.56,6.96,16.1,0
3,2,0,456,130,20,0.092,0.22,0.22,0.0,0.36,1.03,5.68,2.38,9.42,12.61,0
3,2,0,457,6,20,0.018000000000000002,0.23,0.23,0.0,0.34,1.08,5.41,1.62,7.19,9.2,0
3,2,0,460,6,27,0.016,0.79,0.79,0.0,2.3,1.15,6.05,1.25,197.3,12091.46,0
3,2,0,461,6,27,0.016,3.76,3.76,0.0,10.95,1.05,5.52,1.08,6.69,274.36,0
3,2,0,462,6,27,0.016,0.29,0.29,0.0,4.06,1.02,6.06,1.53,231.25,12812.94,0
3,2,0,463,6,27,0.016,0.39,0.39,0.0,6.19,1.03,7.06,1.95,172.76,15756.05,0
3,2,0,467,6,41,0.005,0.49,0.49,0.0,0.23,1.29,5.83,1.9,6.96,4.42,0
3,2,0,468,6,41,0.005,0.34,0.34,0.0,0.15,1.18,5.9,1.58,6.96,4.42,0
